00 (0x00)	0 nop
160 (0xa0)	2 if_icmpne
161 (0xa1)	2 if_icmplt
162 (0xa2)	2 if_icmpge
163 (0xa3)	2 if_icmpgt
164 (0xa4)	2 if_icmple
165 (0xa5)	2 if_acmpeq
166 (0xa6)	2 if_acmpne
167 (0xa7)	2 goto
168 (0xa8)	2 jsr
169 (0xa9)	1 ret
170 (0xaa)	0 tableswitch
171 (0xab)	0 lookupswitch
172 (0xac)	0 ireturn
173 (0xad)	0 lreturn
174 (0xae)	0 freturn
175 (0xaf)	0 dreturn
176 (0xb0)	0 areturn
177 (0xb1)	0 return
178 (0xb2)	2 getstatic
179 (0xb3)	2 putstatic
180 (0xb4)	2 getfield
181 (0xb5)	2 putfield
182 (0xb6)	2 invokevirtual
183 (0xb7)	2 invokespecial
184 (0xb8)	2 invokestatic
185 (0xb9)	4 invokeinterface
186 (0xba)	0 xxxunusedxxx1
187 (0xbb)	2 new
188 (0xbc)	1 newarray
189 (0xbd)	2 anewarray
190 (0xbe)	0 arraylength
191 (0xbf)	0 athrow
192 (0xc0)	2 checkcast
193 (0xc1)	2 instanceof
194 (0xc2)	0 monitorenter
195 (0xc3)	0 monitorexit
196 (0xc4)	0 wide
197 (0xc5)	3 multianewarray
198 (0xc6)	2 ifnull
199 (0xc7)	2 ifnonnull
200 (0xc8)	4 goto_w
201 (0xc9)	4 jsr_w
202 (0xca)	0 breakpoint
254 (0xfe)	0 impdep1
255 (0xff)	0 impdep2
